Date,NVIDIA,AMD,Intel,S&P 500,NASDAQ,Microsoft,Dell,Hewlett Packard Enterprise,SuperMicro
2023-01-02,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-01-03,101.29342830602246,101.23672038475986,102.10736166686259,101.8480907927221,98.99892630101684,99.7509492846883,96.27128782498542,100.49547955171532,102.17275301181188
2023-01-04,101.31720328938123,100.04693834124302,101.97766802157824,103.43049214797895,96.68094083756162,98.6641733365792,98.89622523515268,102.1393318158435,100.92221322384053
2023-01-05,102.93359472490837,101.33874174504159,101.57459659787094,102.93127958794682,95.79507233068065,94.43036330932513,99.12898842794999,101.33013179601208,98.00999534320947
2023-01-06,106.37781426895188,99.94379540667114,103.31895733317018,103.1515334165066,95.60773487640792,96.23788548298765,98.40238653422544,102.22802386326342,97.89114622836252
2023-01-09,106.19877322762339,96.48597575174159,104.61524424734853,104.29845307235763,94.8366615368238,98.80719651012126,98.31533160739117,103.4257224272121,97.13900165958616
2023-01-10,106.02006839540122,93.4900043114387,101.26464361457462,101.12246952025777,97.68644163755715,100.21326637451236,98.32993999744059,104.41814148074484,95.45607560574372
2023-01-11,109.6866936148072,93.72014855531961,104.20443793871799,100.13338523108274,98.42249874674874,98.05329835134681,95.01385853761369,102.76696971848271,95.31216897403753
2023-01-12,111.69930125577078,94.34755340704253,107.02856859700901,101.80414016206791,99.11238999114003,97.7758241194999,97.9401679956118,103.14589924647785,96.43972269802718
2023-01-13,110.98559994220976,92.7826735154748,105.63599270250566,99.33174634939513,100.44487112344524,97.88040256902525,98.10926293415005,103.96929294171912,96.61468641738597
2023-01-16,112.52288378087759,94.10685383799172,106.41939668955082,99.99440418761122,98.25751707963667,99.17006377023596,99.06681352071979,104.0569982493548,97.40109339169382
2023-01-17,111.81755052841345,91.12080560577199,107.41767487861875,97.36138792525988,100.39778548071828,100.6146552244883,101.04131372643128,99.78758610724059,101.12845343048356
2023-01-18,111.11146797495014,91.13706192444043,107.9239854377126,98.34752244479375,100.34605193446527,99.25801993797867,99.068658983985,100.1777348609471,100.6372141576781
2023-01-19,111.98249804264012,89.06639834954206,106.68220093679552,98.35609543314524,101.79199964317452,99.53990389337072,100.09594529915101,104.68078623207681,101.39873320909811
2023-01-20,108.03336751171976,88.03886405834393,105.19585465448283,95.25761912904552,99.71166182115454,100.56970472859722,99.65023589003204,104.00027890788121,100.56885887750235
2023-01-23,104.63049397170693,88.2543808580429,105.08949308039867,97.5528311805786,96.71281611040273,103.61862079578356,101.42753925223525,102.55867467824885,99.06764797067905
2023-01-24,103.76773701484977,86.86805745262755,107.50177829695127,96.19764368396196,98.39153716841663,105.20296306070345,97.20363518403961,103.39626842006432,98.10687475653745
2023-01-25,101.97705635918796,86.33024767660883,108.61678707383076,94.7157142943097,99.23063894313644,106.98942864707165,97.09847193151585,104.114620633918,97.36369836175258
2023-01-26,102.92390788720137,88.19721319721721,107.75737992039971,95.17142796136845,97.53964654010868,107.29718722199958,96.01520126574667,106.671124253643,98.25842362089067
2023-01-27,101.36353188469684,87.31190391285155,109.36662585338783,97.43391423883538,95.94065359551847,110.45270982610361,96.93169123098313,104.06222983354739,103.07127014347685
